,age
2182,32.0
2183,58.0
2184,36.0
2185,25.0
2186,59.0
2187,25.0
2188,25.0
2189,42.0
2190,36.0
2191,59.0
2192,21.0
2193,19.0
2194,45.0
2196,42.0
2197,27.0
2198,45.0
2200,42.0
2201,24.0
2202,39.0
2203,18.0
2204,26.0
2205,35.0
2206,53.0
2207,56.0
2208,54.0
2209,36.0
2210,51.0
2211,45.0
2212,28.0
2213,36.0
2214,73.0
2215,26.0
2216,41.0
2217,59.0
2218,28.0
2219,45.0
2220,27.0
2221,46.0
2223,30.0
2224,46.0
2225,47.0
2226,32.0
2227,65.0
2228,19.0
2229,22.0
2230,39.0
2231,38.0
2232,68.0
2233,49.0
2234,37.0
2235,33.0
2236,25.0
2237,36.0
2238,36.0
2239,30.0
2240,39.0
2241,28.0
2242,28.0
2243,25.0
2244,57.0
2245,35.0
2246,24.0
2248,33.0
2249,56.0
2250,56.0
2251,16.0
2252,47.0
2253,33.0
2254,32.0
2255,21.0
2256,64.0
2257,19.0
2258,55.0
2260,25.0
2261,17.0
2262,25.0
2263,43.0
2264,39.0
2265,24.0
2266,70.0
2267,15.0
2268,79.0
2269,16.0
2270,35.0
2271,24.0
2272,53.0
2273,20.0
2274,27.0
2275,57.0
2276,53.0
2277,32.0
2278,26.0
2279,53.0
2280,32.0
2281,25.0
2282,15.0
2283,59.0
2284,35.0
2285,33.0
2286,32.0
2287,49.0
2288,46.0
2289,25.0
2290,48.0
2291,20.0
2293,24.0
2294,18.0
2295,67.0
2296,26.0
2297,54.0
2298,15.0
2299,62.0
2300,24.0
2301,27.0
2302,26.0
2303,32.0
2304,29.0
2305,16.0
2306,25.0
2308,39.0
2309,34.0
2310,36.0
2311,24.0
2312,50.0
2313,50.0
2315,51.0
2316,30.0
2317,35.0
2318,46.0
2319,37.0
2320,41.0
2321,41.0
2322,48.0
2323,27.0
2324,29.0
2325,47.0
2327,34.0
2328,48.0
2329,41.0
2330,25.0
2331,24.0
2332,38.0
2333,28.0
2334,47.0
2335,65.0
2336,58.0
2337,33.0
2338,43.0
2339,24.0
2340,37.0
2342,21.0
2343,65.0
2344,59.0
2345,74.0
2346,24.0
2348,23.0
2349,59.0
2350,33.0
2351,34.0
2352,30.0
2355,22.0
2356,35.0
2357,37.0
2358,20.0
2359,62.0
2360,18.0
2361,24.0
2362,17.0
2363,27.0
2364,51.0
2365,29.0
2366,34.0
2367,18.0
2368,17.0
2369,55.0
2370,44.0
2371,27.0
2372,66.0
2373,45.0
2374,47.0
2375,34.0
2376,37.0
2377,54.0
2378,50.0
2379,21.0
2380,21.0
2381,35.0
2382,75.0
2384,45.0
2385,30.0
2386,48.0
2387,58.0
2388,29.0
2389,44.0
2390,82.0
2392,53.0
2393,60.0
2394,19.0
2395,45.0
2396,63.0
2397,50.0
2398,35.0
2399,24.0
2400,36.0
2401,35.0
2402,33.0
2403,20.0
2404,66.0
2405,54.0
2406,40.0
2407,41.0
2408,30.0
2409,32.0
2410,24.0
2411,37.0
2412,28.0
2413,48.0
2414,30.0
2415,64.0
2416,21.0
2417,28.0
2420,40.0
2421,32.0
2422,50.0
2423,33.0
2424,37.0
2425,17.0
2426,20.0
2427,34.0
2428,37.0
2430,47.0
2431,20.0
2432,56.0
2433,24.0
2434,47.0
2436,36.0
2437,35.0
2439,37.0
2440,45.0
2442,23.0
2443,37.0
2445,23.0
2446,33.0
2447,23.0
2448,37.0
2449,19.0
2451,53.0
2454,45.0
2456,28.0
2457,36.0
2458,32.0
2459,39.0
2460,46.0
2461,34.0
2462,29.0
2463,53.0
2464,45.0
2465,24.0
2466,51.0
2467,35.0
2468,27.0
2469,33.0
2471,30.0
2472,22.0
2474,50.0
2475,28.0
2476,34.0
2477,24.0
2478,54.0
2479,26.0
2480,39.0
2481,34.0
2482,27.0
2483,48.0
2484,47.0
2486,33.0
2487,40.0
2489,55.0
2490,56.0
2491,42.0
2492,34.0
2493,29.0
2494,40.0
2495,23.0
2497,25.0
2498,52.0
2499,43.0
2500,37.0
2501,32.0
2502,70.0
2503,36.0
2504,24.0
2505,24.0
2506,38.0
2507,52.0
2508,27.0
2509,22.0
2510,42.0
2511,49.0
2512,59.0
2513,41.0
2514,34.0
2515,31.0
2516,23.0
2517,28.0
2518,33.0
2519,16.0
2520,35.0
2522,62.0
2523,25.0
2524,46.0
2525,39.0
2526,25.0
2527,31.0
2529,32.0
2530,31.0
2532,48.0
2533,28.0
2534,32.0
