,age
533,46.0
534,65.0
535,43.0
536,35.0
537,54.0
538,47.0
539,24.0
540,35.0
541,25.0
542,26.0
543,27.0
544,34.0
545,31.0
546,32.0
547,47.0
548,44.0
549,44.0
550,30.0
551,60.0
552,50.0
553,36.0
554,59.0
555,33.0
556,19.0
557,56.0
558,45.0
559,22.0
560,41.0
561,34.0
562,53.0
563,48.0
564,25.0
565,30.0
566,47.0
567,33.0
568,34.0
569,52.0
570,29.0
571,63.0
572,49.0
573,18.0
574,71.0
575,35.0
576,55.0
577,31.0
578,18.0
579,51.0
580,39.0
581,20.0
582,29.0
583,40.0
584,42.0
585,22.0
586,19.0
587,24.0
588,30.0
589,53.0
590,25.0
591,28.0
592,33.0
593,24.0
594,59.0
595,46.0
596,15.0
597,41.0
598,77.0
599,22.0
600,24.0
601,34.0
602,48.0
603,24.0
604,27.0
605,30.0
606,27.0
607,27.0
608,49.0
609,38.0
610,26.0
611,30.0
612,53.0
613,43.0
614,23.0
615,34.0
616,30.0
617,29.0
618,47.0
619,35.0
620,40.0
621,18.0
622,24.0
623,29.0
624,44.0
625,19.0
626,50.0
627,17.0
628,57.0
629,30.0
630,38.0
631,31.0
632,39.0
633,29.0
634,26.0
635,64.0
636,36.0
637,36.0
638,21.0
639,53.0
640,57.0
641,30.0
642,34.0
643,53.0
644,45.0
645,22.0
646,22.0
647,46.0
648,27.0
649,42.0
650,30.0
651,54.0
652,29.0
653,41.0
654,28.0
655,61.0
656,23.0
657,25.0
659,29.0
660,20.0
661,40.0
662,45.0
663,33.0
664,76.0
665,47.0
666,45.0
667,40.0
668,37.0
669,49.0
670,27.0
671,36.0
672,23.0
673,21.0
674,32.0
675,35.0
676,28.0
677,59.0
678,28.0
679,45.0
680,45.0
681,19.0
682,25.0
683,37.0
684,33.0
685,59.0
686,31.0
687,35.0
688,29.0
689,32.0
690,41.0
691,31.0
692,44.0
693,23.0
694,45.0
695,39.0
696,67.0
697,29.0
698,25.0
699,28.0
700,21.0
701,32.0
702,51.0
703,39.0
704,27.0
705,31.0
706,50.0
708,32.0
709,47.0
710,46.0
711,57.0
712,23.0
713,56.0
714,24.0
715,27.0
716,23.0
717,21.0
718,26.0
719,34.0
720,32.0
721,33.0
722,55.0
723,26.0
724,48.0
725,35.0
726,19.0
727,45.0
728,28.0
729,42.0
730,17.0
731,30.0
732,21.0
733,33.0
734,45.0
735,46.0
736,23.0
737,37.0
738,43.0
739,40.0
740,31.0
741,59.0
742,46.0
743,37.0
